XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
*down: administratively down
!down: FIB overload down
^down: standby
(l): loopback
(s): spoofing
(d): Dampening Suppressed
(E): E-Trunk down
The number of interface that is UP in Physical is 503
The number of interface that is DOWN in Physical is 80
The number of interface that is UP in Protocol is 498
The number of interface that is DOWN in Protocol is 85
Interface                         IP Address/Mask      Physical   Protocol VPN 
Eth-Trunk100.52                   10.1.24.142/30       up         up       l3vpn
Eth-Trunk100.53                   10.1.24.146/30       up         up       l3vpn
Eth-Trunk100.54                   10.1.24.150/30       up         up       l3vpn
Eth-Trunk100.55                   10.1.24.154/30       up         up       l3vpn
Eth-Trunk100.56                   10.1.24.158/30       up         up       l3vpn
Eth-Trunk100.100                  10.1.25.10/30        up         up       --  
Eth-Trunk102                      10.11.118.150/30     up         up       --  
Eth-Trunk102.102                  10.1.25.242/30       up         up       --  
Eth-Trunk102.2900                 10.1.25.246/30       up         up       l3vpn
Eth-Trunk122                      unassigned           up         down     --  
Eth-Trunk122.41                   192.168.34.6/24      up         up       l3vpn
Eth-Trunk122.99                   10.1.24.253/29       up         up       l3vpn
Eth-Trunk122.180                  10.0.6.237/28        up         up       l3vpn
Eth-Trunk122.201                  10.195.2.27/29       up         up       l3vpn
Eth-Trunk122.220                  10.120.16.62/29      up         up       l3vpn
Eth-Trunk122.222                  10.120.16.46/29      up         up       l3vpn
Eth-Trunk122.226                  10.193.17.70/29      up         up       l3vpn
Eth-Trunk122.250                  10.195.2.1/30        *down      down     l3vpn
Eth-Trunk122.256                  10.1.81.18/28        up         up       l3vpn
Eth-Trunk122.259                  10.1.80.217/30       *down      down     l3vpn
Eth-Trunk122.404                  10.1.25.26/30        *down      down     l3vpn
Eth-Trunk122.410                  10.193.20.13/28      up         up       l3vpn
Eth-Trunk122.411                  10.193.20.21/29      up         up       l3vpn
Eth-Trunk122.500                  10.193.16.29/27      up         up       l3vpn
Eth-Trunk122.501                  10.193.0.62/27       up         up       l3vpn
Eth-Trunk122.502                  10.193.0.94/27       up         up       l3vpn
Eth-Trunk122.503                  10.193.0.99/27       up         up       l3vpn
Eth-Trunk122.505                  10.195.0.6/29        up         up       l3vpn
Eth-Trunk122.506                  10.195.0.14/29       up         up       l3vpn
Eth-Trunk122.507                  10.195.0.22/29       up         up       l3vpn
Eth-Trunk122.508                  10.195.0.30/29       up         up       l3vpn
Eth-Trunk122.510                  10.193.25.3/28       up         up       l3vpn
Eth-Trunk122.523                  10.7.1.253/23        up         up       l3vpn
Eth-Trunk122.524                  10.7.2.253/24        up         up       l3vpn
Eth-Trunk122.525                  10.193.1.253/24      up         up       l3vpn
Eth-Trunk122.527                  10.193.11.253/24     up         up       l3vpn
Eth-Trunk122.528                  10.7.4.29/27         up         up       l3vpn
Eth-Trunk122.529                  10.193.4.3/28        up         up       l3vpn
Eth-Trunk122.533                  41.73.54.203/29      up         up       l3vpn
Eth-Trunk122.534                  10.193.13.253/24     up         up       l3vpn
Eth-Trunk122.535                  10.193.8.29/27       up         up       l3vpn
Eth-Trunk122.536                  10.193.9.253/24      up         up       l3vpn
Eth-Trunk122.537                  10.193.10.253/24     up         up       l3vpn
Eth-Trunk122.538                  10.193.4.77/28       up         up       l3vpn
Eth-Trunk122.540                  41.73.50.34/28       up         up       l3vpn
Eth-Trunk122.544                  10.20.1.253/24       up         up       l3vpn
Eth-Trunk122.545                  10.20.2.253/24       up         up       l3vpn
Eth-Trunk122.546                  10.20.3.253/24       *down      down     l3vpn
Eth-Trunk122.551                  10.7.3.3/28          up         up       l3vpn
Eth-Trunk122.552                  10.7.3.19/28         up         up       l3vpn
Eth-Trunk122.570                  10.195.16.77/29      up         up       --  
Eth-Trunk122.579                  10.0.14.253/24       up         up       l3vpn
Eth-Trunk122.581                  10.193.8.131/26      up         up       l3vpn
Eth-Trunk122.582                  10.193.8.67/26       up         up       l3vpn
Eth-Trunk122.584                  10.193.6.3/28        up         up       l3vpn
Eth-Trunk122.586                  10.193.6.19/29       up         up       l3vpn
Eth-Trunk122.592                  10.193.3.195/26      up         up       l3vpn
Eth-Trunk122.595                  10.193.6.131/27      up         up       l3vpn
Eth-Trunk122.596                  10.193.6.163/28      up         up       l3vpn
Eth-Trunk122.600                  10.7.110.3/28        up         up       l3vpn
Eth-Trunk122.601                  10.195.2.67/29       up         up       l3vpn
Eth-Trunk122.602                  10.120.17.85/28      up         up       l3vpn
Eth-Trunk122.652                  10.193.40.2/28       up         up       l3vpn
Eth-Trunk122.653                  10.193.40.34/28      up         up       l3vpn
Eth-Trunk122.778                  10.0.3.125/26        up         up       l3vpn
Eth-Trunk122.779                  10.0.6.125/26        up         up       l3vpn
Eth-Trunk122.800                  10.193.33.3/27       up         up       l3vpn
Eth-Trunk122.801                  10.193.34.3/24       up         up       l3vpn
Eth-Trunk122.802                  10.193.33.35/29      up         up       l3vpn
Eth-Trunk122.803                  10.193.33.43/29      up         up       l3vpn
Eth-Trunk122.804                  10.193.33.51/29      up         up       l3vpn
Eth-Trunk122.805                  10.193.33.59/29      up         up       l3vpn
